decision_id,ticker,period_id,rank,pred_proba_up,pred_label,signal_class,news_count_in_pack,realized_period_return_review_only,outcome
2025Q1_SCR_01,SCR,2025Q1,1,0.999444145459264,1,Buy Candidate,5,0.0686300785684166,positive
2025Q1_VHM_02,VHM,2025Q1,2,0.9990863674924828,1,Buy Candidate,5,0.5302664567197662,positive
2025Q1_VIC_03,VIC,2025Q1,3,0.9981398250260798,1,Buy Candidate,5,0.823127481099072,positive
2025Q1_SHB_04,SHB,2025Q1,4,0.9970985766983831,1,Buy Candidate,5,0.2964281081701119,positive
2025Q1_BSI_05,BSI,2025Q1,5,0.9968577136500381,1,Buy Candidate,5,-0.063522860059417,negative_or_neutral
2025Q2_STB_01,STB,2025Q2,1,0.9987508337159348,1,Buy Candidate,5,0.2762555825823432,positive
2025Q2_DXG_02,DXG,2025Q2,2,0.9984698500767306,1,Buy Candidate,5,0.461292441257888,positive
2025Q2_VBB_03,VBB,2025Q2,3,0.9981673135834384,1,Buy Candidate,5,0.2802349805698135,positive
2025Q2_MSN_04,MSN,2025Q2,4,0.9972110602207352,1,Buy Candidate,5,0.2617095201620232,positive
2025Q2_VND_05,VND,2025Q2,5,0.9970933137405896,1,Buy Candidate,5,0.4522337347122404,positive
2025Q3_LPB_01,LPB,2025Q3,1,0.9985291000420128,1,Buy Candidate,5,0.2170389711225347,positive
2025Q3_VIC_02,VIC,2025Q3,2,0.9970068380521899,1,Buy Candidate,5,0.954701830445386,positive
2025Q3_VRE_03,VRE,2025Q3,3,0.9940922707557027,1,Buy Candidate,5,0.1661973880461279,positive
2025Q3_KDH_04,KDH,2025Q3,4,0.9921091193919478,1,Buy Candidate,5,0.0460700451089025,positive
2025Q3_SCR_05,SCR,2025Q3,5,0.9904412570629436,1,Buy Candidate,5,-0.0521182744712364,negative_or_neutral
2025Q4_GAS_01,GAS,2025Q4,1,0.9977169088235865,1,Buy Candidate,5,0.6219322438772209,positive
2025Q4_MCH_02,MCH,2025Q4,2,0.9944298168290505,1,Buy Candidate,5,0.0245157256869712,positive
2025Q4_ABB_03,ABB,2025Q4,3,0.9925587966120623,1,Buy Candidate,5,0.0906655669245113,positive
2025Q4_ELC_04,ELC,2025Q4,4,0.985207419352861,1,Buy Candidate,5,-0.0092913771018545,negative_or_neutral
2025Q4_VBB_05,VBB,2025Q4,5,0.9821647646675534,1,Buy Candidate,5,-0.0526492970348784,negative_or_neutral
2026Q1_GMD_01,GMD,2026Q1,1,0.9918332061384683,1,Buy Candidate,5,0.0638199850271289,positive
2026Q1_EVF_02,EVF,2026Q1,2,0.9916400447480391,1,Buy Candidate,5,0.0774919062382025,positive
2026Q1_DPM_03,DPM,2026Q1,3,0.9718740266791716,1,Buy Candidate,5,-0.0276171755474492,negative_or_neutral
2026Q1_DCM_04,DCM,2026Q1,4,0.9584405436818748,1,Buy Candidate,5,0.0042115042355549,positive
2026Q1_REE_05,REE,2026Q1,5,0.9533451285937101,1,Buy Candidate,5,-0.0229848901425415,negative_or_neutral
